2023-05-21 17:24:20,027 INFO    Thread-13 :49820 [wandb_setup.py:_flush():68] Configure stats pid to 49820
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/.config/wandb/settings
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_setup.py:_flush():68] Loading settings from /home/peppe/Desktop/Università/magistrale/Thesis/Link_Prediction_with_Physics-based_GNNs-/wandb/settings
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'Link Prediction with PBGNN', 'entity': 'deepl_wizards', 'root_dir': '/home/peppe/Desktop/Università/magistrale/Thesis/Link_Prediction_with_Physics-based_GNNs-', 'run_id': 't5dvzjfi', 'sweep_param_path': '/home/peppe/Desktop/Università/magistrale/Thesis/Link_Prediction_with_Physics-based_GNNs-/wandb/sweep-7ziax315/config-t5dvzjfi.yaml', 'sweep_id': '7ziax315'}
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_init.py:_log_setup():476] Logging user logs to /home/peppe/Desktop/Università/magistrale/Thesis/Link_Prediction_with_Physics-based_GNNs-/wandb/run-20230521_172420-t5dvzjfi/logs/debug.log
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_init.py:_log_setup():477] Logging internal logs to /home/peppe/Desktop/Università/magistrale/Thesis/Link_Prediction_with_Physics-based_GNNs-/wandb/run-20230521_172420-t5dvzjfi/logs/debug-internal.log
2023-05-21 17:24:20,028 INFO    Thread-13 :49820 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f21fba062b0>
2023-05-21 17:24:20,029 INFO    Thread-13 :49820 [wandb_init.py:init():516] calling init triggers
2023-05-21 17:24:20,029 INFO    Thread-13 :49820 [wandb_init.py:init():519] wandb.init called with sweep_config: {'hidden_dim': 64, 'loss_type': 'ce', 'lr': 0.0001, 'num_layers': 4, 'step': 0.4, 'wd': 0.01}
config: {}
2023-05-21 17:24:20,029 INFO    Thread-13 :49820 [wandb_init.py:init():569] starting backend
